cpe_vendor,cpe_product,cpe_version
anisha,job_recruitment,1.0
,,
code-projects,chat_system,1.0
oretnom23,online_eyewear_shop,1.0
code-projects,point_of_sales_and_inventory_management_system,1.0
anisha,online_shop,1.0
iterm2,iterm2,*
b3log,siyuan,3.1.18
optimizely,configured_commerce,*
optimizely,optimizely_cms,*
code-projects,student_management_system,1.0
code-projects,online_shoe_store,1.0
campcodes,school_faculty_scheduling_system,1.0
campcodes,student_grading_system,1.0
campcodes,project_management_system,1.0
i0bit,protected_folder,*
code-projects,local_storage_todo_app,1.0
fabianros,travel_management_system,1.0
fabianros,responsive_hotel_site,1.0
codezips,gym_management_system,1.0
codezips,blood_bank_management_system,1.0
codezips,project_management_system,1.0
tgstation13,tgstation-server,*
go-git_project,go-git,*
plane,plane,*
dell,update_package_framework,*
wpmailster,wp_mailster,*
wpbits,wpbits_addons_for_elementor_page_builder,*
acetech,home_clean_services_management_system,1.0
code-projects,online_book_shop,1.0
mozilla,firefox,*
mozilla,thunderbird,*
google,android,-
oxygenz,clipbucket,*
mbilalm,urdu_formatter,*
fabianros,online_book_shop,1.0
hashthemes,hash_elements,*
pgadmin,pgagent,*
wegia,wegia,*
dell,vxrail_e560,-
dell,vxrail_s570_vcf,-
dell,vxrail_e660,-
dell,vxrail_p570f_vcf_firmware,*
dell,vxrail_vd-4520c,-
dell,vxrail_g560_firmware,*
dell,vxrail_p675f,-
dell,vxrail_e560n_firmware,*
dell,vxrail_s570_vcf_firmware,*
dell,vxrail_d560_firmware,*
dell,vxrail_e660_firmware,*
dell,vxrail_e665_firmware,*
dell,vxrail_p570f_vcf,-
dell,vxrail_vd-4000r,-
dell,vxrail_p580n_vcf_firmware,*
dell,vxrail_p580n,-
dell,vxrail_d560f,-
dell,vxrail_v570_firmware,*
dell,vxrail_e665f,-
dell,vxrail_p675f_firmware,*
dell,vxrail_s670_firmware,*
dell,vxrail_p670n,-
dell,vxrail_v570_vcf_firmware,*
dell,vxrail_g560_vcf_firmware,*
dell,vxrail_vd-4510c,-
dell,vxrail_e665f_firmware,*
dell,vxrail_vd-4510c_firmware,*
dell,vxrail_v670f_firmware,*
dell,vxrail_p675n,-
dell,vxrail_p670f,-
dell,vxrail_e560f_vcf_firmware,*
dell,vxrail_p670f_firmware,*
dell,vxrail_vd-4000w_firmware,*
dell,vxrail_p580n_vcf,-
dell,vxrail_e665,-
dell,vxrail_e660n,-
dell,vxrail_e560f_vcf,-
dell,vxrail_p675n_firmware,*
dell,vxrail_e560_vcf,-
dell,vxrail_e560f,-
dell,vxrail_p470_firmware,*
dell,vxrail_p570,-
dell,vxrail_s570_firmware,*
dell,vxrail_e460_firmware,*
dell,vxrail_e560_vcf_firmware,*
dell,vxrail_v470,-
dell,vxrail_e560_firmware,*
dell,vxrail_vd-4000r_firmware,*
dell,vxrail_g560f_firmware,*
dell,vxrail_e665n,-
dell,vxrail_p570_firmware,*
dell,vxrail_e660f,-
dell,vxrail_g560f,-
dell,vxrail_vd-4000z,-
dell,vxrail_p570f,-
dell,vxrail_vd-4000z_firmware,*
dell,vxrail_v470_firmware,*
dell,vxrail_e560n_vcf_firmware,*
dell,vxrail_g560_vcf,-
dell,vxrail_s570,-
dell,vxrail_p670n_firmware,*
dell,vxrail_d560f_firmware,*
dell,vxrail_p570_vcf_firmware,*
dell,vxrail_s470_firmware,*
dell,vxrail_p570f_firmware,*
dell,vxrail_v570_vcf,-
dell,vxrail_e460,-
dell,vxrail_g560,-
dell,vxrail_v570,-
dell,vxrail_e660f_firmware,*
dell,vxrail_v670f,-
dell,vxrail_e660n_firmware,*
dell,vxrail_p580n_firmware,*
dell,vxrail_vd-4520c_firmware,*
dell,vxrail_s670,-
dell,vxrail_p470,-
dell,vxrail_vd-4000w,-
dell,vxrail_d560,-
dell,vxrail_e560n,-
dell,vxrail_p570_vcf,-
dell,vxrail_s470,-
dell,vxrail_e665n_firmware,*
dell,vxrail_e560f_firmware,*
dell,vxrail_e560n_vcf,-
cisco,crosswork_network_controller,*
apple,macos,-
cisco,roomos,-
cisco,thousandeyes_endpoint_agent,*
charm,soft_serve,*
cisco,common_services_platform_collector,2.11.0.2
cisco,common_services_platform_collector,2.11.0.1
cisco,common_services_platform_collector,2.11.0.3
cisco,common_services_platform_collector,30.1.1-0
cisco,common_services_platform_collector,2.11
google,chrome,*
gitlab,gitlab,*
ivanti,policy_secure,22.7
ivanti,connect_secure,22.7
ivanti,neurons_for_zero-trust_access,22.7
ivanti,connect_secure,9.1
ivanti,connect_secure,21.12
ivanti,neurons_for_zero-trust_access,22.2
ivanti,connect_secure,*
ivanti,neurons_for_zero-trust_access,22.6
ivanti,neurons_for_zero-trust_access,22.5
ivanti,neurons_for_zero-trust_access,-
ivanti,connect_secure,22.1
ivanti,policy_secure,*
ivanti,connect_secure,21.9
ivanti,neurons_for_zero-trust_access,22.4
ivanti,neurons_for_zero-trust_access,22.3
leiyuxi,cy-fast,1.0
fabianros,online_bike_rental_system,1.0
code-projects,cinema_seat_reservation_system,1.0
mattermost,mattermost_server,*
campcodes,computer_laboratory_management_system,1.0
code-projects,content_management_system,1.0
anisha,admission_management_system,1.0
campcodes,deped_equipment_inventory_system,1.0
tenda,ac6,-
tenda,ac6_firmware,15.03.05.16
modernaweb,black_widgets_for_elementor,*
bplugins,button_block,*
microsoft,purview,-
microsoft,azure_marketplace,-
themeisle,orbit_fox,*
tenda,ac9_firmware,15.03.05.19
tenda,ac9,1.0
freetype,freetype,2.8.1
vanderbilt,redcap,14.9.6
huayi-tec,jeewms,*
starsea99,starsea-mall,1.0.0
1902756969,reggie,1.0
liujianview,gymxmjpa,1.0
luxion,keyshot,*
apache,cloudstack,*
givewp,givewp,*
wpexperts,post_smtp,*
sismics,teedy,*
namelessmc,nameless,*
vim,vim,*
netapp,bootstrap_os,-
netapp,hci_compute_node,-
veeam,veeam_backup_for_microsoft_azure,*
